kettou,url
キングヘイロー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/kinghalo_icon.png
キタサンブラック,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/kitasanblack_icon.png
ケイエスミラクル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/ksmiracle_icon.png
ラヴズオンリーユー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/lovesonlyyou_icon.png
ラッキーライラック,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/luckylilac_icon.png
マンハッタンカフェ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/manhattancafe_icon.png
マルゼンスキー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/maruzensky_icon.png
マーベラスサンデー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/marveloussunday_icon.png
マチカネフクキタル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/matikanefukukitaru_icon.png
マチカネタンホイザ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/matikanetannhauser_icon.png
マヤノトップガン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mayanotopgun_icon.png
メイショウドトウ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/meishodoto_icon.png
メジロアーダン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mejiroardan_icon.png
メジロブライト,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mejirobright_icon.png
メジロドーベル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mejirodober_icon.png
メジロマックイーン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/mejiromcqueen_icon.png
